Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m^2/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m/s^2)
0.000000,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000022,0.0000016,0.0000001,0.00000060,0.0000012,0.400000,-0.0000000050,0.021764,-0.000000075,-0.00000089,0.000036,-42.000004,-42.000004,-42.000004,-42.000000,-42.000000,-0.000000030,0.000000060,-0.000000015,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789726,-0.789727,0.000000048,-0.0000000015,0.0000000062,-0.000000016,-0.000000011,-0.00000013,0.0000018,-0.00000014,-0.0000017,0.000000025,0.00000043,0.00000087,-0.0000000027,0.0000013,-0.000000072
0.020000,-0.004215,-0.002182,-0.005830,-0.003397,-0.005872,0.399999,0.00000012,0.020048,0.005848,-0.001581,0.001581,-42.011265,-41.962753,-41.962406,-41.933563,-41.987537,0.003293,0.003434,0.003436,-0.003497,-0.003320,0.813366,0.787494,0.793258,-0.806566,-0.802608,-0.002157,-0.002156,-0.002179,-0.002071,-0.002039,0.007781,0.008188,0.008131,-0.009870,-0.009405,0.002320,0.001540,0.003422,0.002243,0.001533
0.030000,0.395394,0.196783,0.276358,0.036337,0.049935,0.400003,0.000017,0.017551,0.833707,-0.100284,-0.003558,-42.118149,-41.938004,-41.924747,-41.836128,-41.889576,-0.006980,-0.009122,-0.008743,0.000025,-0.000200,0.752851,0.893307,0.906038,-0.889708,-0.767714,0.000014,0.004971,0.000830,0.002238,0.001875,0.003636,0.009200,0.004087,0.001607,0.001231,0.026354,0.015599,-0.008768,0.004164,0.004632
0.040000,1.515866,0.323870,0.767156,1.999474,1.785710,0.400027,0.000030,0.016147,1.406989,-0.429176,0.011593,-41.994846,-42.307827,-43.041031,-40.992596,-42.371368,-0.009377,-0.044188,-0.020024,-0.052905,-0.044863,1.158236,0.321866,1.204572,-4.054122,-2.124645,0.014593,0.018175,0.017877,-0.021531,-0.019696,0.002067,-0.001499,0.006896,0.027361,0.034756,-0.021863,0.026627,-0.020069,0.043054,0.038978
0.050000,0.968837,0.300983,1.003050,1.492952,1.765156,0.400042,0.000021,0.016144,1.164979,-1.030672,0.009568,-41.830944,-41.884068,-42.576874,-43.402725,-45.301819,-0.011187,-0.024776,-0.029145,-0.046963,-0.053131,-0.327438,1.128894,0.915027,-0.887285,-1.136153,0.009366,0.015918,0.028228,-0.010552,-0.020451,0.001264,0.015215,0.012643,0.011779,0.016669,-0.003295,0.010761,-0.029284,0.018536,0.041248
0.060000,0.756473,-0.076084,1.299132,0.657450,1.393712,0.400039,0.000014,0.016931,0.533306,-1.296867,0.005017,-41.890629,-41.860516,-43.084232,-43.085243,-42.582355,0.000169,-0.026544,-0.039787,-0.017549,-0.047355,1.507423,1.354782,-1.318693,1.311287,2.041434,-0.008790,0.006303,0.032020,-0.014865,-0.014026,-0.000785,0.006678,0.019292,0.018499,0.012711,0.017704,0.021352,-0.039864,0.030808,0.013421
0.070000,0.436653,-0.046042,0.720307,0.548780,0.766927,0.400024,0.0000058,0.017800,0.512679,-1.287705,0.007594,-41.799168,-41.656990,-41.643536,-42.128002,-43.043102,0.000038,-0.010940,-0.026823,-0.020475,-0.024544,1.556928,-0.812077,1.081274,0.319953,-1.990953,-0.000938,0.014785,0.002246,-0.005639,-0.003292,-0.002054,0.013763,0.001397,0.000910,0.015348,0.001059,-0.008185,-0.026703,-0.000039,-0.003832
0.080000,0.193984,-0.003560,0.430533,-0.018260,0.473578,0.400012,0.0000026,0.018223,0.265147,-1.025450,0.002540,-41.790710,-41.555454,-42.209091,-42.105762,-43.627064,-0.000526,-0.008020,-0.012717,-0.001228,-0.013152,1.730579,1.463709,1.167389,-1.569957,0.945653,-0.000024,-0.005939,0.006395,0.006226,-0.012319,-0.003443,0.000719,0.009506,-0.001557,0.010967,-0.000526,0.023612,-0.012766,-0.019106,0.019002
0.090000,0.608649,-0.062284,0.498143,0.011309,0.609938,0.399988,0.000010,0.018271,0.501794,-0.560231,0.015302,-39.911858,-39.879662,-41.022415,-42.099453,-42.676071,-0.006993,-0.020224,-0.016379,-0.000682,-0.016968,3.652238,1.440596,3.204534,-1.479444,-1.888581,-0.003952,0.010640,0.001624,-0.003236,-0.000930,-0.021209,0.000733,0.003078,-0.003210,0.008854,0.013938,-0.003046,-0.016353,0.015620,-0.007033
0.100000,0.933216,0.192855,0.296451,0.727166,0.673313,0.399966,0.000021,0.018327,0.793857,-0.240307,0.026515,-37.908619,-38.415848,-39.238052,-40.472260,-41.738293,-0.004770,-0.027896,-0.008100,-0.018889,-0.018628,5.769652,4.032763,5.262989,-4.115137,-4.210723,0.001929,0.003211,0.004167,-0.005874,-0.008016,0.009033,0.001987,0.003422,0.013104,0.006730,0.002092,0.031864,-0.008038,-0.000365,0.008498
0.110000,0.523736,0.203175,-0.009661,0.333451,0.673870,0.399954,0.000024,0.018142,0.683123,-0.030316,0.036786,-37.748314,-36.968128,-39.221561,-40.919128,-39.471661,-0.005058,-0.011789,-0.000149,-0.010237,-0.019430,7.667706,6.194845,7.263742,-6.101261,-6.685673,0.003351,0.007777,0.000642,-0.003179,-0.006104,0.005391,0.007901,0.000843,-0.000413,-0.000051,-0.001196,0.001343,-0.000119,-0.000638,-0.000212
0.120000,0.666662,0.518873,0.288129,0.560893,0.980089,0.399954,0.000020,0.018077,0.824457,-0.077342,0.041906,-37.545231,-35.441914,-39.129963,-40.858276,-38.080257,-0.012844,-0.017219,-0.004625,-0.013442,-0.024567,6.084770,8.619070,5.284081,-5.098330,-8.574468,0.014774,0.008345,0.010564,-0.015201,-0.013947,0.003395,0.000554,0.015215,0.008831,0.006571,-0.017475,0.014302,-0.004549,0.034686,0.017244
0.130000,0.620001,0.232890,0.268820,0.541779,0.958719,0.399959,0.000009,0.018178,0.609756,-0.228768,0.048029,-39.618263,-34.378723,-41.317116,-40.875465,-37.495842,-0.000990,-0.014882,-0.002325,-0.016719,-0.025771,4.404625,10.651872,3.301604,-3.256418,-10.982637,0.006256,0.011725,0.006288,-0.006887,-0.014486,0.009254,0.004943,0.009236,-0.002695,0.000799,-0.004790,-0.004392,-0.002460,0.002144,0.011890
0.140000,0.443918,0.270053,0.645273,0.591440,0.347982,0.399966,0.0000042,0.018253,0.308572,-0.563101,0.038350,-37.531532,-36.441154,-40.431660,-39.808865,-39.808250,-0.016069,-0.003718,-0.024043,-0.017652,-0.001236,6.255443,9.258240,5.372955,-5.247275,-9.215475,-0.005662,0.014730,-0.001698,-0.000428,-0.014947,-0.014406,0.018458,-0.006476,0.003328,0.025226,0.030864,-0.023079,-0.024088,-0.018008,0.029729
0.150000,0.875606,0.059950,0.680131,0.402365,1.079466,0.399964,0.0000082,0.018469,0.270305,-0.906408,0.030341,-35.646408,-34.077141,-38.192802,-38.139736,-38.646404,-0.003074,-0.029238,-0.020787,-0.011711,-0.035067,8.182403,8.502275,8.355371,-7.489042,-7.430044,0.000658,0.010124,0.007591,-0.005552,-0.015134,-0.000185,0.001539,0.005379,0.006360,0.001437,0.000254,0.011797,-0.020918,0.003826,0.003431
0.160000,1.213519,-0.072139,0.464939,0.266865,1.223992,0.399952,0.000015,0.018981,0.400327,-0.961504,0.022492,-33.660465,-32.836632,-36.378239,-36.065624,-37.419338,0.000629,-0.030761,-0.015836,-0.009091,-0.032400,10.111303,6.402319,10.503301,-9.613366,-6.977325,-0.001976,0.018073,0.006295,-0.005171,-0.017240,-0.001458,0.016678,-0.001598,0.000077,0.017540,0.003124,0.009259,-0.015996,0.007406,0.001285
0.170000,1.349275,-0.043745,0.043147,0.159408,1.259999,0.399935,0.000021,0.019647,0.495542,-0.839449,0.020259,-31.703154,-32.789421,-34.440872,-34.262497,-36.213696,0.000071,-0.032333,-0.001757,-0.005573,-0.034030,12.011134,6.022806,12.477963,-11.521024,-6.140356,-0.000547,0.021248,0.002561,-0.002662,-0.021052,-0.002022,0.019409,-0.000452,-0.000270,0.018211,-0.001985,0.011114,-0.001787,0.000839,0.017196
0.180000,0.532580,-0.005657,-0.039825,0.081285,0.502494,0.399926,0.000024,0.019932,0.388715,-0.540192,0.013249,-29.751747,-34.974854,-32.489571,-32.390289,-38.318306,-0.000276,-0.006913,0.000916,-0.002089,-0.009852,13.961043,4.646551,14.396017,-13.540945,-3.976387,0.000294,0.008998,-0.000604,-0.000799,-0.007227,-0.002575,0.017990,0.001931,0.001912,0.012050,-0.002318,0.003867,0.000978,-0.001995,0.000290
0.190000,1.156995,0.102951,-0.052637,0.189813,0.938530,0.399915,0.000027,0.019981,0.355785,-0.336263,0.006742,-27.765562,-33.645535,-30.520857,-30.485365,-36.853672,-0.002261,-0.033560,0.000686,-0.004192,-0.027386,15.882895,3.102545,16.254429,-15.741189,-3.569595,0.001182,0.014703,-0.001189,-0.003825,-0.010157,0.006437,0.000267,0.002231,0.004495,0.001822,0.004733,0.014257,0.000753,0.003080,-0.000792
0.200000,1.646076,-0.062196,-0.095700,-0.043371,1.390534,0.399910,0.000040,0.020147,0.797962,0.031211,0.007702,-27.771614,-32.577999,-30.532261,-30.570967,-35.602234,0.000226,-0.039896,0.001252,0.0000012,-0.035348,17.811413,-2.802540,17.937197,-17.705013,-2.533722,-0.001521,0.025802,-0.002464,-0.000899,-0.019958,-0.004431,0.001311,0.000647,-0.002098,0.001575,0.005110,0.016945,0.001264,0.004588,0.021836
0.210000,1.416864,-0.021722,-0.048159,0.159793,1.219223,0.399906,0.000049,0.020453,1.669048,0.606267,0.016984,-29.667995,-30.026823,-32.506901,-32.421886,-34.546368,0.006758,-0.039551,0.006911,0.003627,-0.034106,15.974584,4.070028,15.971223,-16.003012,-5.525203,0.007015,0.007518,0.006853,-0.011829,-0.005677,0.013091,-0.023756,0.012261,0.014963,-0.018274,-0.026668,0.063666,0.006704,0.027083,0.011702
0.220000,1.217526,-0.040664,-0.047370,0.289690,0.874066,0.399903,0.000052,0.020766,2.257810,1.211406,0.007498,-31.608223,-29.593687,-34.438015,-34.484852,-33.792152,0.000307,-0.026114,0.000166,-0.007345,-0.021918,14.000495,5.561632,14.046421,-14.220274,-8.261491,-0.000058,0.015557,-0.000629,-0.004643,-0.011386,0.001054,-0.017806,0.000062,-0.007024,-0.016746,-0.004795,0.044523,0.000221,0.006919,0.032527
0.230000,0.779293,0.388569,0.036213,0.979238,0.511368,0.399895,0.000040,0.021057,2.162325,1.369916,0.002649,-30.028482,-27.897564,-32.569927,-33.069130,-32.012253,-0.013573,-0.015439,-0.007045,-0.028596,-0.011193,12.773902,8.040909,12.129842,-12.420805,-10.230535,0.006979,0.012475,0.002174,-0.015061,-0.007492,-0.008496,-0.012186,-0.010574,-0.031462,-0.005090,0.007547,0.023701,-0.006792,0.034696,0.018002
0.240000,0.173294,0.611599,0.019415,1.070204,-0.015010,0.399909,0.000020,0.021233,1.616256,0.792595,0.030258,-28.621082,-27.707314,-30.587292,-31.603521,-31.904161,-0.012133,-0.001186,0.001553,-0.021692,0.001792,11.735686,9.859023,10.244218,-9.950271,-12.157758,0.011668,0.004734,0.001462,-0.017539,0.000879,-0.008353,0.010962,0.012762,-0.010148,0.009138,0.017696,-0.004479,0.001671,0.029295,-0.005104
0.250000,-0.009585,0.641381,0.031383,1.033545,-0.007646,0.399941,-0.000011,0.021115,0.374750,-0.490145,0.051702,-26.517601,-29.723696,-28.656509,-29.304121,-31.931171,-0.011780,0.008101,0.001098,-0.024708,0.002153,9.903392,11.831062,8.411105,-9.588450,-12.050517,0.014926,0.002294,0.001897,-0.013054,-0.005869,0.011581,0.020875,0.005431,0.001480,0.010477,-0.008079,-0.006905,0.001143,0.001807,0.013703
0.260000,-0.035864,0.067101,1.479399,0.448685,0.365423,0.399976,-0.000023,0.020919,-0.104898,-1.533907,0.029358,-24.521393,-31.664265,-27.267641,-27.600845,-33.938694,-0.005432,-0.000456,-0.031303,-0.010395,-0.002009,11.816419,9.771132,10.302548,-11.576218,-10.588433,-0.008023,0.005055,0.008754,-0.002144,-0.007993,-0.014184,-0.005730,0.035940,0.007945,0.021758,0.039087,-0.017573,-0.031931,-0.010897,0.003715
0.270000,0.076599,-0.048027,1.662279,0.422434,1.110842,0.399987,-0.000024,0.020882,-0.157895,-1.804953,0.020061,-22.549366,-31.794859,-24.624352,-25.885889,-33.782200,-0.000056,-0.005161,-0.042618,-0.010291,-0.034341,13.639669,7.733004,13.893862,-13.807852,-8.009000,-0.002558,0.000101,0.029257,-0.008478,-0.019125,-0.004892,-0.010797,0.036150,0.007902,0.012182,0.006818,0.006369,-0.043314,0.004192,0.004362
0.280000,0.833235,-0.036083,0.750105,-0.047638,1.403659,0.399980,-0.000016,0.021047,-0.027913,-1.288970,0.018959,-22.652506,-29.456629,-24.339497,-25.984648,-32.721848,-0.000276,-0.026933,-0.019819,-0.001154,-0.037166,15.628866,5.649113,16.001303,-15.749691,-5.278769,-0.001118,0.009830,0.012702,-0.000710,-0.023016,-0.007134,0.005083,0.004845,-0.008768,0.026191,0.004231,0.003793,-0.020248,0.003594,0.002410
