Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,0.008382,-0.005979,0.021036,0.305326,-0.021010,-0.006582,0.400003,-0.0000057,0.021848,-0.280469,-0.154882,-0.000787,-41.983173,-41.981964,-42.004238,-42.634319,-41.971241,-42.007233,0.000432,0.000339,0.000278,-0.005810,0.000509,0.000451,0.817628,0.778532,0.894482,-1.021367,-0.731363,-0.776898,0.000613,0.000843,0.000988,-0.002071,0.000899,0.000792,0.001934,0.001968,0.002054,0.003378,0.001951,0.002093,-0.003552,-0.003540,-0.003371,-0.003817,-0.003546,0.000465
0.020000,0.062762,-0.016105,0.015213,0.480583,-0.025136,-0.018214,0.400018,-0.000029,0.020440,-1.308775,-0.769716,-0.017356,-41.986710,-41.977192,-41.932148,-43.135044,-41.976353,-42.032833,-0.002153,-0.002507,0.004158,-0.009481,-0.001919,0.004567,0.942730,1.131435,0.982154,-1.225475,-0.551119,-0.540037,-0.001627,0.006398,-0.001203,-0.001355,-0.001450,-0.001515,-0.003868,-0.002604,0.012255,0.008778,-0.002921,0.014447,-0.000301,-0.021774,0.000227,-0.015219,0.000076,0.004577
0.030000,0.533794,-0.099038,0.772645,0.729110,-0.018719,0.008631,0.400044,-0.000044,0.018522,-2.000603,-1.763931,-0.064050,-42.017490,-42.746502,-41.777538,-41.632271,-41.902603,-42.103436,0.001287,-0.013579,-0.017873,-0.021121,0.000500,0.000791,1.152991,1.406910,1.286453,-1.315389,-0.523703,-0.737926,-0.002738,-0.001909,0.011941,-0.009323,-0.000407,-0.000887,0.0000096,0.030458,0.038314,0.019438,0.003267,0.004156,0.009185,0.013937,-0.014566,-0.020717,0.004786,0.000826
0.040000,0.913904,-0.161162,1.713533,0.887370,-0.061816,1.656653,0.400075,-0.000029,0.017432,-1.098969,-2.638032,-0.057622,-41.977474,-42.343716,-40.897636,-42.800560,-41.898785,-41.316513,0.000647,-0.024693,-0.053669,-0.020241,0.000045,-0.044395,0.962620,1.011387,4.166252,-0.898329,-0.502938,-3.023868,-0.006355,0.020227,0.039575,-0.016287,-0.003161,-0.021136,-0.004807,0.039944,0.060821,0.034820,-0.007073,0.075270,0.017367,-0.030689,-0.042172,-0.007363,0.020790,-0.044778
0.050000,0.763940,-0.073856,1.604784,0.734077,-0.130126,1.908329,0.400091,-0.000014,0.017320,-0.598701,-3.343220,-0.049804,-41.982414,-41.051311,-43.718029,-42.539417,-42.025639,-42.402695,0.000136,-0.029685,-0.052427,-0.015576,0.000843,-0.060850,1.014830,1.577473,3.361327,1.224544,-0.607444,-2.353581,-0.000503,0.006450,0.033362,-0.016077,0.002736,-0.025664,-0.005070,0.026541,0.074549,0.039961,-0.007233,0.085741,-0.003473,0.003292,-0.018875,-0.006197,-0.006937,-0.060954
0.060000,0.126909,-0.011533,1.221359,0.316595,-0.088964,1.696877,0.400091,-0.000010,0.017657,-0.418120,-3.514889,-0.044558,-42.116325,-40.971134,-42.463806,-43.106579,-42.159065,-43.782784,-0.000851,-0.006279,-0.037275,-0.009211,-0.000605,-0.057015,1.107693,1.210310,1.567474,0.796482,-0.352990,-0.997696,0.000448,0.002646,0.029490,-0.002364,0.001372,-0.023149,-0.008224,0.002467,0.069692,0.015971,-0.011016,0.086153,-0.004335,-0.004873,-0.018408,-0.005944,-0.003935,-0.057194
0.070000,-0.020658,0.012734,0.939943,0.167446,-0.063287,1.265134,0.400076,-0.000020,0.018081,-0.678281,-3.080000,-0.049749,-42.096287,-40.915871,-44.196152,-43.469666,-42.149910,-44.030079,-0.001403,-0.001903,-0.031334,-0.005900,-0.000852,-0.035928,1.070946,0.961718,0.864319,-1.264184,-0.381054,-0.839594,0.002036,0.000974,0.019224,0.006113,0.001714,-0.021945,-0.009268,-0.010203,0.042311,0.008067,-0.009996,0.078442,-0.007106,-0.005004,-0.006021,-0.011952,-0.004825,-0.035972
0.080000,0.220461,-0.042660,0.932657,0.257011,-0.032456,0.717435,0.400051,-0.000025,0.018327,-0.720858,-2.252029,-0.038243,-42.085938,-40.826904,-43.876453,-43.429279,-42.081177,-44.012112,-0.000623,-0.005904,-0.028540,-0.006546,-0.000763,-0.022334,0.878909,1.180175,1.216238,-1.175837,-0.592104,0.585129,-0.001752,0.002156,0.014915,-0.004060,0.0000086,-0.012119,-0.005585,0.014002,0.040004,0.007141,-0.006469,0.029347,0.005170,0.002017,-0.007594,0.000268,0.002746,-0.022331
0.090000,0.875532,-0.115741,0.685030,0.873411,-0.057930,0.567877,0.400028,-0.000026,0.018610,-0.920969,-1.923609,-0.029395,-40.034485,-38.510376,-42.954906,-42.668560,-42.108604,-43.026653,0.001325,-0.023956,-0.019368,-0.026392,0.001826,-0.018378,2.900344,3.011403,3.436760,-1.351449,-0.419490,-0.462803,-0.002994,0.015626,0.004577,-0.009636,-0.000324,-0.006648,0.000961,0.033297,0.027140,0.030439,0.005335,0.017518,0.006402,-0.023775,-0.001740,-0.012928,0.004323,-0.018135
