Graph
Time (Seconds),L2_force (kg*m/s^2),L1_force (kg*m/s^2),L3_force (kg*m/s^2),R1_force (kg*m/s^2),R2_force (kg*m/s^2),R3_force (kg*m/s^2),body_x (Meters),body_y (Meters),body_z (Meters),body_alpha (Degrees),body_beta (Degrees),body_gemma (Degrees),L1_angle (Degrees),L2_angle (Degrees),L3_angle (Degrees),R1_angle (Degrees),R2_angle (Degrees),R3_angle (Degrees),L1_tor (kg*m^2/s^2),L2_tor (kg*m^2/s^2),L3_tor (kg*m^2/s^2),R1_tor (kg*m^2/s^2),R2_tor (kg*m^2/s^2),R3_tor (kg*m^2/s^2),L1_angle2 (Degrees),L2_angle2 (Degrees),L3_angle2 (Degrees),R1_angle2 (Degrees),R2_angle2 (Degrees),R3_angle2 (Degrees),L1_tor2 (kg*m^2/s^2),L2_tor2 (kg*m^2/s^2),L3_tor2 (kg*m^2/s^2),R1_tor2 (kg*m^2/s^2),R2_tor2 (kg*m^2/s^2),R3_tor2 (kg*m^2/s^2),L1_force_x (kg*m/s^2),L2_force_x (kg*m/s^2),L3_force_x (kg*m/s^2),R1_force_x (kg*m/s^2),R2_force_x (kg*m/s^2),R3_force_x (kg*m/s^2),L1_force_y (kg*m/s^2),L2_force_y (kg*m/s^2),L3_force_y (kg*m/s^2),R1_force_y (kg*m/s^2),R2_force_y (kg*m/s^2),R3_force_y (kg*m^2/s^2)
0.000000,Null,Null,Null,Null,Null,Null,0.400000,-0.0000000075,0.022500,0.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
0.010000,-0.00000023,0.0000014,0.000000080,-0.00000014,0.00000039,0.0000012,0.400000,-0.0000000048,0.021764,0.00000033,-0.00000069,0.000036,-42.000004,-42.000004,-42.000004,-41.999996,-42.000000,-42.000000,0.000000,0.000000060,-0.000000015,0.000000,0.000000,-0.000000015,0.789734,0.789734,0.789734,-0.789727,-0.789728,-0.789727,0.000000047,-0.0000000017,0.0000000038,0.0000000016,-0.000000011,-0.00000001,-0.00000013,0.0000018,-0.00000013,0.000000013,-0.0000017,0.000000022,0.0000004,0.00000086,0.000001,0.00000022,0.0000013,-0.0000000097
0.020000,-0.012896,-0.011256,-0.015631,-0.000301,-0.020489,0.004197,0.399999,0.00000013,0.020049,0.006751,-0.003066,0.001335,-42.012363,-42.012035,-41.962730,-41.999962,-41.942448,-42.100845,0.003335,0.003321,0.003473,-0.000306,-0.003403,-0.003351,0.691161,0.683238,0.707690,-0.789580,-0.661278,-0.800417,-0.002621,-0.002626,-0.002721,-0.000264,0.004260,-0.002578,0.007850,0.007686,0.008083,-0.000503,-0.009674,-0.009226,0.004815,0.003955,0.003339,-0.000237,-0.013863,-0.003351
0.030000,0.376806,0.328761,0.446459,0.015696,0.085594,0.043827,0.400005,0.000017,0.017587,0.855640,-0.101875,-0.002504,-42.227737,-42.014294,-41.842098,-42.000092,-41.946316,-42.196327,-0.008218,-0.008837,-0.010368,0.000012,-0.000159,0.000182,0.665015,0.815552,1.164465,-0.786142,-1.141941,-0.950119,0.004750,0.005103,0.005545,-0.000666,-0.011776,0.002099,0.007203,0.008652,0.008946,0.000297,0.001496,0.002052,0.012938,0.013894,0.014410,0.005369,0.045131,0.000211
0.040000,1.123879,0.463038,1.355247,-0.065006,1.663434,1.991344,0.400025,0.000037,0.016386,1.615934,-0.334578,0.008864,-42.767006,-41.844360,-42.034191,-41.998131,-42.543266,-41.314167,-0.014171,-0.036925,-0.041916,0.000074,-0.043982,-0.053132,0.832491,1.879368,1.004420,-0.742319,-2.707450,2.194431,0.007697,0.006276,0.010282,0.000846,-0.006486,-0.021670,-0.001751,-0.009063,-0.008192,-0.000414,0.026024,0.026827,-0.002721,0.038606,0.042435,-0.005387,0.004160,-0.053274
0.050000,0.610177,0.272561,1.382360,-0.043225,1.184625,1.955550,0.400026,0.000027,0.016463,1.413951,-0.344239,0.009375,-43.196159,-41.741291,-40.848808,-41.996380,-43.326912,-40.305775,-0.010477,-0.016519,-0.036914,-0.0000035,-0.039888,-0.063064,1.493735,-1.507800,-2.397870,-0.725323,-1.993216,5.402379,-0.000262,0.018359,0.024876,0.000561,-0.011881,-0.021273,-0.002257,0.001821,0.005200,-0.000493,-0.009821,-0.008662,0.015567,-0.018542,0.011231,-0.002721,0.027568,-0.063347
0.060000,0.604596,0.476427,0.926111,-0.031157,0.926956,1.287852,0.400015,0.000011,0.017323,0.604768,-0.398678,0.003100,-41.743858,-42.410908,-42.260361,-41.992889,-42.087219,-42.383446,-0.020211,-0.019320,-0.026642,0.000062,-0.028222,-0.036824,1.247466,0.632421,0.308287,-0.695683,-1.623885,-0.271830,0.008796,0.013000,0.015718,0.000199,-0.015857,-0.013827,-0.009432,0.000991,0.003217,0.000234,0.003792,0.010899,0.000055,0.006240,0.004231,-0.000303,0.028344,-0.036736
0.070000,0.259017,0.064540,0.402903,-0.000802,0.162945,0.466000,0.400006,0.0000027,0.018097,0.376510,-0.286861,0.005313,-41.689259,-42.324577,-42.830547,-41.992832,-42.349113,-43.001514,-0.003307,-0.004408,-0.008171,-0.000035,-0.006349,-0.008308,1.454065,0.852408,0.535323,-0.695893,-1.244891,-0.310220,-0.002577,0.002617,0.004630,-0.000073,0.003746,-0.006400,-0.001007,0.006441,0.009012,-0.000671,-0.002222,0.015206,0.010243,0.006653,0.008282,0.000599,-0.012504,-0.008347
0.080000,0.341914,-0.004807,0.163395,-0.008395,0.149635,0.284711,0.400002,0.00000076,0.018266,0.305419,-0.170627,0.007060,-41.686050,-42.176289,-42.746944,-41.992817,-42.545956,-42.922054,-0.000929,-0.010173,-0.005470,0.0000073,-0.003494,-0.008500,1.334100,0.821207,0.743480,-0.696612,-1.144722,-0.595669,0.000217,-0.000640,0.000719,0.000105,-0.002137,-0.002550,-0.003262,0.004165,0.000880,-0.000082,0.005303,0.002305,-0.001781,0.018522,0.002604,-0.000547,0.001956,-0.008448
0.090000,0.649334,0.331744,0.460746,-0.011624,0.300447,0.505582,0.399999,0.000015,0.018173,0.625477,-0.292558,0.017760,-40.087074,-40.726364,-41.160965,-41.992527,-43.031773,-43.670219,-0.010385,-0.022263,-0.019530,0.000058,-0.006883,-0.010843,3.361655,1.502095,2.856549,-0.695940,-1.212240,-1.191385,0.000501,0.010430,-0.004868,-0.000100,-0.004541,-0.007405,0.005140,-0.004525,-0.007071,0.000551,0.008543,0.012817,0.014915,0.000226,0.034092,0.001536,0.009549,-0.010823
